term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
toggle,0.0,0.001010588928,-0.001010588928,-1.0,0.075548374228,-1.075548374228,-1.076558963155,cold
constituency,0.0,0.001001241739,-0.001001241739,-1.0,0.075548374228,-1.075548374228,-1.076549615967,cold
importance,0.0,0.001336464245,-0.001336464245,-1.0,0.075146739804,-1.075146739804,-1.076483204049,cold
grow,0.0,0.001335948649,-0.001335948649,-1.0,0.075146739804,-1.075146739804,-1.076482688453,cold
irrigation,0.0,0.000819854262,-0.000819854262,-1.0,0.075548374228,-1.075548374228,-1.07636822849,cold
pueblos,0.0,0.000781365744,-0.000781365744,-1.0,0.075548374228,-1.075548374228,-1.076329739972,cold
organic,0.0,0.000685561678,-0.000685561678,-1.0,0.075548374228,-1.075548374228,-1.076233935906,cold
plastics,0.0,0.000606003925,-0.000606003925,-1.0,0.075548374228,-1.075548374228,-1.076154378152,cold
latest,0.0,0.000604641926,-0.000604641926,-1.0,0.075548374228,-1.075548374228,-1.076153016154,cold
endowment,0.0,0.000599645448,-0.000599645448,-1.0,0.075548374228,-1.075548374228,-1.076148019675,cold
evolving,0.0,0.000585865796,-0.000585865796,-1.0,0.075548374228,-1.075548374228,-1.076134240023,cold
postsecondary,0.0,0.000560198642,-0.000560198642,-1.0,0.075548374228,-1.075548374228,-1.076108572869,cold
prescribed,0.0,0.00055219753,-0.00055219753,-1.0,0.075548374228,-1.075548374228,-1.076100571758,cold
inspire,0.0,0.000549706841,-0.000549706841,-1.0,0.075548374228,-1.075548374228,-1.076098081068,cold
inequitable,0.0,0.00054807748,-0.00054807748,-1.0,0.075548374228,-1.075548374228,-1.076096451708,cold
breakfast,0.0,0.000523273047,-0.000523273047,-1.0,0.075548374228,-1.075548374228,-1.076071647275,cold
church,0.0,0.000514914765,-0.000514914765,-1.0,0.075548374228,-1.075548374228,-1.076063288993,cold
ivf,0.0,0.000511051962,-0.000511051962,-1.0,0.075548374228,-1.075548374228,-1.07605942619,cold
educator,0.0,0.000508782797,-0.000508782797,-1.0,0.075548374228,-1.075548374228,-1.076057157025,cold
nurture,0.0,0.000506823491,-0.000506823491,-1.0,0.075548374228,-1.075548374228,-1.076055197718,cold
load,0.0,0.000506709647,-0.000506709647,-1.0,0.075548374228,-1.075548374228,-1.076055083874,cold
riparian,0.0,0.000503313177,-0.000503313177,-1.0,0.075548374228,-1.075548374228,-1.076051687404,cold
aquifers,0.0,0.000490847715,-0.000490847715,-1.0,0.075548374228,-1.075548374228,-1.076039221942,cold
cumulative,0.0,0.000469793755,-0.000469793755,-1.0,0.075548374228,-1.075548374228,-1.076018167982,cold
missouri,0.0,0.000459695608,-0.000459695608,-1.0,0.075548374228,-1.075548374228,-1.076008069835,cold
psychologists,0.0,0.000449163148,-0.000449163148,-1.0,0.075548374228,-1.075548374228,-1.075997537376,cold
shortages,0.0,0.000449002672,-0.000449002672,-1.0,0.075548374228,-1.075548374228,-1.0759973769,cold
curriculums,0.0,0.000447491182,-0.000447491182,-1.0,0.075548374228,-1.075548374228,-1.075995865409,cold
graduates,0.0,0.000441098242,-0.000441098242,-1.0,0.075548374228,-1.075548374228,-1.075989472469,cold
round,0.0,0.000437590482,-0.000437590482,-1.0,0.075548374228,-1.075548374228,-1.07598596471,cold
subsurface,0.0,0.000435489166,-0.000435489166,-1.0,0.075548374228,-1.075548374228,-1.075983863394,cold
